"Zone","Broadleaf Evergreen Forest","Broadleaf Deciduous Forest","Mixed Broadleaf-Conifer Forest","Conifer Evergreen Forest","Conifer Deciduous Forest","Savanna","Shrub","Grass","Pasture","Crop","Barren","Other"
"Af","T1","T1","T5","T5",,,"S1","GX","APX","AC1",,
"Am","T2","T2","T5","T5",,,"S1","GX","APX","AC1",,
"As","T3","T3","T3","T3",,"S1","S1","GX","APX","AC1",,
"Aw","T3","T3","T3","T3",,"S1","S1","GX","APX","AC1",,
"Bsh","T3","T3","T3","T3",,"S1","S1","GX","APX","AC1",,
"Bsk","T6","T6","T6","T6",,,"S3","GX","APX","AC2","B",
"Bwh",,,,,,,"S2","GX","APX","AC1","B",
"Bwk","T6","T6","T6","T6",,,"S3","GX","APX","AC2","B",
"Cfa","T4","T4","T5","T5",,,"S4","GX","APX","AC2",,
"Cfb","T8","T8","T7","T7",,,"S4","GX","APX","AC2",,
"Cfc","T8","T8","T7","T7",,,"S4","GX","APX","AC2",,
"Csa","T6","T6","T6","T6",,,"S4","GX","APX","AC2",,
"Csb","T8","T8","T7","T7",,,"S4","GX","APX","AC2",,
"Csc",,,,,,,"S4","GX","APX","AC2","B",
"Cwa","T4","T4","T5","T5",,"S1","S1","GX","APX","AC1",,
"Cwb","T4","T4","T5","T5",,"S1","S1","GX","APX","AC1",,
"Cwc",,,,,,,"S4","GX","APX","AC2","B",
"Dfa",,"T9","T9","T10","T10",,"S4","GX","APX","AC2",,
"Dfb",,"T9","T9","T10","T10",,"S4","GX","APX","AC2",,
"Dfc",,"T11","T11","T12","T13",,"S5","S5","APX","AC2","B",
"Dfd",,"T11","T11","T12","T13",,"S5","S5",,"AC2","B",
"Dsa",,"T9","T9","T10","T10",,"S4","GX","APX","AC2",,
"Dsb",,"T9","T9","T10","T10",,"S4","GX","APX","AC2",,
"Dsc",,"T11","T11","T12","T13",,"S5","S5","APX","AC2","B",
"Dsd",,"T11","T11","T12","T13",,"S5","S5",,"AC2",,
"Dwa",,"T9","T9","T10","T10",,"S4","GX","APX","AC2",,
"Dwb",,"T9","T9","T10","T10",,"S4","GX","APX","AC2",,
"Dwc",,"T11","T11","T12","T13",,"S5","S5","APX","AC2",,
"Dwd",,"T11","T11","T12","T13",,"S5","S5",,"AC2",,
"ET",,"T11","T11","T12","T13",,"S5","S5",,"AC2","B",
"EF",,,,,,,"S5","S5",,"AC2",,
