"Map","Value","Category","Broadleaf Evergreen Forest","Broadleaf Deciduous Forest","Mixed Broadleaf-Conifer Forest","Conifer Evergreen Forest","Conifer Deciduous Forest","Savanna","Shrub","Grass","Pasture","Cropland","Barren","Other"
"SYNMAP",0,"Water",0,0,0,0,0,0,0,0,0,0,0,
"SYNMAP",1,"Trees / Needle / Evergreen",,,,,,,,,,,,
"SYNMAP",2,"Trees / Needle / Deciduous",,,,,1,,,,,,,
"SYNMAP",3,"Trees / Needle / Mixed",,,,,1,,,,,,,
"SYNMAP",4,"Trees / Broad / Evergreen",1,,,,,,,,,,,
"SYNMAP",5,"Trees / Broad / Deciduous",,1,,,,,,,,,,
"SYNMAP",6,"Trees / Broad / Mixed",,1,,,,,,,,,,
"SYNMAP",7,"Trees / Mixed / Evergreen",,,1,,,,,,,,,
"SYNMAP",8,"Trees / Mixed / Deciduous",,,1,,,,,,,,,
"SYNMAP",9,"Trees / Mixed / Mixed",,,1,,,,,,,,,
"SYNMAP",10,"Trees & Shrubs / Needle / Evergreen",,,,1,,,1,,,,,
"SYNMAP",11,"Trees & Shrubs / Needle / Deciduous",,,,,1,,1,,,,,
"SYNMAP",12,"Trees & Shrubs / Needle / Mixed",,,,,1,,1,,,,,
"SYNMAP",13,"Trees & Shrubs / Broad / Evergreen",1,,,,,,1,,,,,
"SYNMAP",14,"Trees & Shrubs / Broad / Deciduous",,1,,,,,1,,,,,
"SYNMAP",15,"Trees & Shrubs / Broad / Mixed",,1,,,,,1,,,,,
"SYNMAP",16,"Trees & Shrubs / Mixed / Evergreen",,,1,,,,1,,,,,
"SYNMAP",17,"Trees & Shrubs / Mixed / Deciduous",,,1,,,,1,,,,,
"SYNMAP",18,"Trees & Shrubs / Mixed / Mixed",,,1,,,,1,,,,,
"SYNMAP",19,"Trees & Grasses / Needle / Evergreen",,,,1,,1,,1,1,,,
"SYNMAP",20,"Trees & Grasses / Needle / Deciduous",,,,,1,1,,1,1,,,
"SYNMAP",21,"Trees & Grasses / Needle / Mixed",,,,,1,1,,1,1,,,
"SYNMAP",22,"Trees & Grasses / Broad / Evergreen",1,,,,,1,,1,1,,,
"SYNMAP",23,"Trees & Grasses / Broad / Deciduous",,1,,,,1,,1,1,,,
"SYNMAP",24,"Trees & Grasses / Broad / Mixed",,1,,,,1,,1,1,,,
"SYNMAP",25,"Trees & Grasses / Mixed / Evergreen",,,1,,,1,,1,1,,,
"SYNMAP",26,"Trees & Grasses / Mixed / Deciduous",,,1,,,1,,1,1,,,
"SYNMAP",27,"Trees & Grasses / Mixed / Mixed",,,1,,,1,,1,1,,,
"SYNMAP",28,"Trees & Crops / Needle / Evergreen",,,,1,,,,,,1,,
"SYNMAP",29,"Trees & Crops / Needle / Deciduous",,,,,1,,,,,1,,
"SYNMAP",30,"Trees & Crops / Needle / Mixed",,,,,1,,,,,1,,
"SYNMAP",31,"Trees & Crops / Broad / Evergreen",1,,,,,,,,,1,,
"SYNMAP",32,"Trees & Crops / Broad / Deciduous",,1,,,,,,,,1,,
"SYNMAP",33,"Trees & Crops / Broad / Mixed",,1,,,,,,,,1,,
"SYNMAP",34,"Trees & Crops / Mixed / Evergreen",,,1,,,,,,,1,,
"SYNMAP",35,"Trees & Crops / Mixed / Deciduous",,,1,,,,,,,1,,
"SYNMAP",36,"Trees & Crops / Mixed / Mixed",,,1,,,,,,,1,,
"SYNMAP",37,"Shrubs",,,,,,,1,,,,,
"SYNMAP",38,"Shrubs & Grasses",,,,,,,1,,1,,,
"SYNMAP",39,"Shrubs & Crops",,,,,,,1,,,1,,
"SYNMAP",40,"Shrubs & Barren",,,,,,,1,,,,1,
"SYNMAP",41,"Grasses",,,,,,,,1,1,,,
"SYNMAP",42,"Grasses & Crops",,,,,,,,1,1,1,,
"SYNMAP",43,"Grasses & Barren",,,,,,,,1,1,,1,
"SYNMAP",44,"Crops",,,,,,,,,,1,,
"SYNMAP",45,"Barren",,,,,,,,,,0,1,
"SYNMAP",46,"Urban",,,,,,,,,,,,"Urban"
"SYNMAP",47,"Snow & Ice",,,,,,,,,,,1,
"KOPPEN",1,"Af",1,0,0,0,0,0,0,0,0,1,0,
"KOPPEN",2,"Am",1,0,0,0,0,0,0,0,1,1,0,
"KOPPEN",,"As",1,1,0,0,0,0,1,1,1,1,0,
"KOPPEN",3,"Aw",1,1,0,0,0,1,1,1,1,1,0,
"KOPPEN",6,"BSh",0,1,0,0,0,1,1,1,1,1,0,
"KOPPEN",7,"BSk",0,0,0,0,0,0,1,1,1,1,1,
"KOPPEN",4,"BWh",0,0,0,0,0,0,1,1,1,0,1,
"KOPPEN",5,"BWk",0,0,0,0,0,0,1,1,1,0,1,
"KOPPEN",14,"Cfa",1,1,0,1,0,0,1,1,1,1,0,
"KOPPEN",15,"Cfb",1,1,0,1,0,0,1,1,1,1,0,
"KOPPEN",16,"Cfc",1,0,0,1,0,0,1,1,1,0,0,
"KOPPEN",8,"Csa",0,0,0,1,0,0,1,1,1,1,0,
"KOPPEN",9,"Csb",0,0,0,1,0,0,1,1,1,1,0,
"KOPPEN",10,"Csc",1,0,1,0,0,0,1,1,1,0,1,
"KOPPEN",11,"Cwa",1,1,0,0,0,1,1,1,1,1,0,
"KOPPEN",12,"Cwb",1,1,0,0,0,1,1,1,1,1,0,
"KOPPEN",13,"Cwc",0,0,0,0,0,0,1,1,1,0,1,
"KOPPEN",25,"Dfa",0,0,0,0,0,0,0,1,1,1,0,
"KOPPEN",26,"Dfb",0,1,1,1,0,0,0,1,1,1,0,
"KOPPEN",27,"Dfc",0,0,0,1,0,0,1,1,0,0,1,
"KOPPEN",28,"Dfd",0,0,0,0,1,0,1,1,0,0,1,
"KOPPEN",17,"Dsa",0,0,0,0,0,0,1,1,1,1,0,
"KOPPEN",18,"Dsb",0,0,0,1,0,0,1,1,1,1,0,
"KOPPEN",19,"Dsc",0,0,0,1,0,0,1,1,0,0,1,
"KOPPEN",20,"Dsd",0,0,0,1,0,0,1,1,0,0,1,
"KOPPEN",21,"Dwa",0,1,1,0,0,0,1,1,1,1,0,
"KOPPEN",22,"Dwb",0,1,1,0,0,0,0,1,1,1,0,
"KOPPEN",23,"Dwc",0,0,1,1,1,0,0,1,0,0,0,
"KOPPEN",24,"Dwd",0,0,0,0,1,0,1,1,0,0,0,
"KOPPEN",30,"EF",0,0,0,0,0,0,0,0,0,0,0,
"KOPPEN",32,"EF",0,0,0,0,0,0,0,0,0,0,0,
"KOPPEN",29,"ET",0,0,0,0,0,0,1,1,0,0,1,
"KOPPEN",31,"ET",0,0,0,0,0,0,1,1,0,0,1,
"FAO","ba","Boreal coniferous forest",0,0,1,1,1,0,0,0,0,0,0,
"FAO","bm","Boreal mountain system",0,0,0,0,0,0,0,0,0,0,0,
"FAO","bb","Boreal tundra woodland",0,0,0,1,0,0,1,0,0,0,1,
"FAO","p","Polar",0,0,0,0,0,0,1,0,0,0,1,
"FAO","sbwh","Subtropical desert",0,0,0,0,0,0,1,1,0,0,1,
"FAO","scs","Subtropical dry forest",1,0,0,0,0,0,1,1,0,0,0,
"FAO","sfc","Subtropical humid forest",1,0,0,0,0,0,0,1,0,0,0,
"FAO","sm","Subtropical mountain system",0,0,0,0,0,0,0,0,0,0,0,
"FAO","sbsh","Subtropical steppe",0,0,0,0,0,0,1,1,0,0,1,
"FAO","tedc","Temperate continental forest",0,1,1,1,0,0,0,0,0,0,0,
"FAO","tebwk","Temperate desert",0,0,0,0,0,0,1,1,0,0,1,
"FAO","tem","Temperate mountain system",0,0,0,0,0,0,0,0,0,0,0,
"FAO","tedo","Temperate oceanic forest",1,1,0,1,0,0,1,1,0,0,0,
"FAO","tebsk","Temperate steppe",0,0,0,0,0,0,0,1,0,0,0,
"FAO","tbwh","Tropical desert",0,0,0,0,0,0,1,1,0,0,1,
"FAO","tawb","Tropical dry forest",0,1,0,0,0,1,1,1,0,0,0,
"FAO","tawa","Tropical moist forest",1,1,0,0,0,1,1,0,0,0,0,
"FAO","tm","Tropical mountain system",0,0,0,0,0,0,0,0,0,0,0,
"FAO","tar","Tropical rainforest",1,0,0,0,0,0,0,0,0,0,0,
"FAO","tbsh","Tropical shrubland",0,0,0,0,0,0,1,1,0,0,1,
"IBIS",,"boreal deciduous forest/woodland",0,0,0,0,1,0,0,0,0,0,0,
"IBIS",,"boreal evergreen forest/woodland",0,0,0,1,0,0,0,0,0,0,0,
"IBIS",,"dense shrubland",0,0,0,0,0,0,1,0,0,0,0,
"IBIS",,"desert",0,0,0,0,0,0,0,0,0,0,1,
"IBIS",,"evergreen/deciduous mixed forest/woodland",0,0,1,0,0,0,0,0,0,0,0,
"IBIS",,"grassland/steppe",0,0,0,0,0,0,0,1,0,0,0,
"IBIS",,"open shrubland",0,0,0,0,0,0,1,0,0,0,0,
"IBIS",,"polar desert/rock/ice",0,0,0,0,0,0,0,0,0,0,1,
"IBIS",,"savanna",0,0,0,0,0,1,0,0,0,0,0,
